,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),toDrop
1717,113,296,1677,1460,1517,2205,164,9474,262,513,42,0
1718,126,303,1828,1509,1522,2275,182,9575,282,462,48,0
1719,139,244,1752,1303,1417,1964,207,9639,202,400,34,0
1720,148,216,1581,1214,1329,1845,265,9217,171,270,28,0
1721,117,137,1132,1023,1203,1622,285,9150,112,238,18,0
1722,106,120,1037,1037,1234,1658,297,9714,116,237,19,0
1723,98,100,1023,1090,1286,1719,317,9966,132,217,2,0
1724,98,103,1022,1075,1298,1690,317,9902,127,215,19,0
1725,110,123,989,1084,1308,1724,328,9515,130,195,2,0
1726,114,136,925,1099,1276,1680,325,8948,135,186,23,0
1727,122,158,795,985,1234,1572,302,9524,102,226,27,0
1728,155,216,1263,1300,1419,1923,276,9382,201,257,36,0
1729,145,211,1184,1273,1325,1815,259,8195,191,249,38,0
1730,146,202,1272,1224,1346,1794,239,8589,175,294,35,0
1731,130,147,1177,1110,1241,1698,223,8515,138,321,25,0
1732,126,160,1231,1094,1274,1682,205,8565,133,359,25,0
1733,127,162,1243,1144,1321,1745,198,8509,148,372,3,0
1734,126,194,1427,1240,1424,1841,191,9158,180,419,37,0
1735,124,167,1454,1178,1357,1782,178,9344,160,461,33,0
1736,93,91,1183,966,1123,1594,176,9465,97,476,15,0
1737,-200,-200,908,820,1003,1455,179,9394,62,463,7,1
1738,58,42,821,713,951,1385,169,9544,40,498,-200,1
1739,59,50,777,687,941,1374,158,9615,36,538,5,0
1740,66,61,888,745,986,1426,165,9928,46,535,5,0
1741,80,107,1076,947,1153,1643,172,10276,92,529,12,0
1742,94,139,1285,1137,1323,1846,193,10723,146,483,22,0
1743,102,165,1315,1040,1315,1740,206,11287,117,471,22,0
1744,96,139,1250,1015,1303,1731,237,11530,110,400,21,0
1745,91,113,978,1037,1238,1698,256,10530,116,325,18,0
1746,104,138,1072,1080,1259,1736,272,9989,129,281,22,0
1747,84,104,1064,1070,1246,1747,279,10394,126,281,2,0
1748,76,78,825,912,1154,1605,283,10539,83,278,14,0
1749,87,97,924,997,1237,1688,292,10810,105,270,18,0
1750,101,115,966,1041,1315,1767,289,11503,117,293,21,0
1751,115,152,1302,1174,1466,1965,254,12771,158,398,28,0
1752,110,157,1256,1113,1409,1850,252,12642,139,401,28,0
1753,103,132,1068,1171,1366,1933,245,11963,157,394,27,0
1754,90,98,1070,1011,1241,1748,223,12088,109,454,18,0
1755,68,65,792,832,1123,1565,212,12034,64,483,12,0
1756,85,101,1017,1075,1321,1891,206,12082,127,505,26,0
1757,100,134,1207,1159,1397,1949,202,12340,153,529,31,0
1758,114,177,1499,1311,1507,2107,198,12488,205,545,41,0
1759,108,179,1474,1177,1405,1931,195,12624,159,562,36,0
1760,78,105,1163,994,1192,1780,190,12581,104,580,19,0
1761,-200,-200,1189,1070,1199,1873,181,12679,126,616,19,1
1762,55,49,815,761,973,1501,180,11788,49,576,-200,1
1763,37,27,507,591,864,1374,177,11215,21,560,3,0
1764,53,41,506,598,886,1374,179,10655,22,524,4,0
1765,79,78,716,713,988,1455,189,10668,40,493,8,0
1766,65,68,795,729,1008,1490,200,11199,43,486,8,0
1767,64,64,594,698,976,1393,206,9841,38,412,8,0
1768,66,67,565,718,978,1392,236,9749,41,340,8,0
1769,53,54,523,740,987,1407,267,9688,45,281,9,0
1770,69,67,591,778,1030,1452,268,9785,53,281,12,0
1771,57,51,559,723,955,1393,277,9467,42,258,1,0
1772,36,28,430,673,924,1346,288,8864,33,227,8,0
1773,57,51,522,758,1005,1434,268,9462,49,273,11,0
1774,73,77,641,816,1059,1468,259,9423,61,287,15,0
1775,81,93,738,851,1079,1490,258,9076,69,277,15,0
1776,91,94,778,850,1070,1502,248,9077,68,295,14,0
1777,65,69,718,805,1085,1528,253,11513,58,363,11,0
1778,56,57,689,787,1066,1552,239,11787,55,404,9,0
1779,69,74,852,815,1094,1563,214,11764,61,466,1,0
1780,73,75,854,814,1110,1571,205,11730,60,493,11,0
1781,76,73,664,719,968,1388,192,9339,42,423,1,0
1782,67,56,544,714,906,1351,192,8352,41,379,7,0
1783,44,31,461,615,849,1276,172,8394,24,431,5,0
1784,21,13,352,500,774,1169,158,8052,10,452,2,0
1785,-200,-200,308,450,746,1111,157,7464,6,423,-200,1
1786,19,14,301,437,753,1110,163,7513,5,410,-200,1
1787,29,23,307,466,749,1089,161,6640,7,365,1,0
1788,69,72,441,642,864,1255,165,6752,28,362,5,0
1789,111,165,775,893,1002,1394,175,6111,78,309,16,0
1790,81,118,907,966,970,1379,184,5046,97,240,2,0
1791,56,85,763,853,898,1271,192,5235,69,238,13,0
1792,90,116,649,800,847,1179,217,4642,58,181,1,0
1793,85,112,598,788,847,1162,223,4513,55,170,9,0
1794,83,100,579,848,871,1208,228,4404,68,161,12,0
1795,85,109,596,866,869,1212,238,4222,72,145,13,0
1796,85,111,595,854,875,1200,251,4129,69,131,11,0
1797,81,109,607,878,895,1238,258,4219,75,129,12,0
1798,92,114,662,885,926,1259,255,4495,77,140,14,0
1799,108,139,822,1048,996,1397,245,4663,120,154,2,0
1800,106,157,987,1100,997,1392,226,4656,135,172,24,0
1801,114,147,966,1048,1006,1416,212,4710,120,189,21,0
1802,96,102,763,845,895,1241,191,5010,67,228,12,0
1803,77,73,617,751,862,1213,184,5169,48,246,7,0
1804,73,65,564,756,858,1209,173,5032,48,256,7,0
1805,86,76,646,762,853,1184,165,4642,50,249,8,0
1806,84,65,753,727,859,1187,167,5316,43,283,5,0
1807,56,41,669,634,837,1150,155,5641,27,322,2,0
1808,31,17,435,493,746,1063,175,5773,9,291,-200,1
1809,-200,-200,436,515,752,1068,133,5393,12,356,-200,1
1810,30,19,403,489,742,1048,140,5355,9,337,-200,1
1811,51,45,532,560,774,1107,116,5462,17,400,1,0
1812,45,40,536,630,798,1125,134,5272,26,345,2,0
1813,82,101,917,932,1002,1405,152,5329,88,310,11,0
1814,100,183,1481,1356,1210,1786,163,5066,222,275,3,0
1815,91,149,1187,1158,1058,1459,192,4390,153,200,21,0
1816,130,207,1220,1118,1106,1451,249,4038,140,130,26,0
1817,155,289,1381,1253,1153,1541,283,3754,185,99,32,0
1818,114,159,1103,1101,1047,1391,292,3914,135,98,21,0
1819,127,162,1105,1172,1091,1459,316,4190,158,92,22,0
1820,138,173,1248,1253,1162,1595,326,4499,185,93,24,0
1821,-200,-200,976,1070,1059,1401,326,4463,126,92,-200,1
1822,-200,-200,898,1051,1083,1390,323,4747,120,100,-200,1
1823,-200,-200,1038,1161,1150,1512,321,4996,154,107,-200,1
1824,-200,-200,1395,1426,1321,1859,297,5007,249,122,-200,1
1825,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1826,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1827,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1828,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1829,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1830,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1831,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1832,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1833,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1834,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1835,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1836,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1837,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1838,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,-200,1
1839,-200,-200,1608,1776,1303,1467,204,8440,402,357,4,1
1840,136,188,1327,1146,1137,1392,261,7938,149,238,22,0
1841,135,159,1292,1109,1139,1436,288,8193,138,211,18,0
1842,115,146,1114,1059,1099,1416,296,7897,123,194,16,0
1843,112,127,1060,1116,1088,1449,316,7489,140,164,18,0
1844,112,128,915,1041,1027,1345,323,6303,118,133,16,0
1845,109,120,893,1049,1014,1366,318,6249,120,135,16,0
1846,112,115,768,968,969,1325,318,6394,97,138,13,0
1847,-200,-200,1126,1238,1120,1591,310,7039,180,159,-200,1
1848,-200,-200,1284,1368,1131,1707,286,7216,226,187,-200,1
1849,-200,-200,1269,1368,1130,1709,267,6754,227,195,-200,1
1850,-200,-200,1290,1304,1123,1720,250,7616,203,244,-200,1
1851,-200,-200,1119,1086,1069,1536,228,7804,131,284,-200,1
1852,-200,-200,1027,1010,1021,1480,217,7458,109,292,-200,1
1853,-200,-200,1155,1093,1101,1564,211,7617,133,309,-200,1
1854,-200,-200,1078,960,1026,1471,199,8349,95,363,-200,1
1855,-200,-200,954,841,949,1393,186,8355,66,393,-200,1
1856,-200,-200,726,687,846,1288,186,8228,36,388,-200,1
1857,-200,-200,656,606,811,1248,190,8468,23,389,-200,1
1858,-200,-200,573,586,803,1232,180,8394,20,409,-200,1
1859,-200,-200,780,715,882,1367,155,8505,41,486,-200,1
1860,-200,-200,920,836,963,1429,160,8659,65,479,-200,1
1861,-200,-200,1544,1424,1413,2102,170,8830,248,460,-200,1
1862,-200,-200,1789,1650,1485,2337,190,9039,344,416,-200,1
1863,-200,-200,1629,1418,1354,2043,218,9002,245,350,-200,1
1864,-200,-200,997,939,1074,1513,256,9088,90,280,-200,1
1865,-200,-200,847,914,1022,1446,264,7853,84,231,-200,1
1866,-200,-200,958,1034,1100,1586,271,8560,115,242,-200,1
1867,-200,-200,854,1052,1073,1574,275,7565,121,209,-200,1
1868,-200,-200,782,983,1049,1515,295,8015,101,197,-200,1
1869,-200,-200,888,1048,1086,1580,306,8014,119,186,-200,1
1870,-200,-200,764,1027,1059,1521,313,7106,113,158,-200,1
1871,-200,-200,1170,1301,1244,1801,294,8452,202,210,-200,1
1872,-200,-200,1385,1423,1320,1986,270,8256,248,235,-200,1
1873,-200,-200,1237,1304,1236,1868,258,8758,203,267,-200,1
1874,-200,-200,1127,1187,1136,1735,237,8225,162,284,-200,1
1875,-200,-200,1091,1093,1110,1661,213,8284,133,330,-200,1
1876,-200,-200,972,990,1026,1553,205,8435,103,353,-200,1
1877,-200,-200,949,961,1038,1530,194,8511,96,381,-200,1
1878,-200,-200,890,892,975,1480,194,9045,78,407,-200,1
1879,-200,-200,763,814,908,1403,178,9030,61,449,-200,1
1880,-200,-200,833,820,896,1439,166,9295,62,497,-200,1
1881,-200,-200,675,697,810,1321,165,9028,38,486,-200,1
1882,-200,-200,672,638,789,1309,152,9190,28,536,-200,1
1883,-200,-200,626,678,814,1339,155,9019,34,517,-200,1
1884,-200,-200,882,907,958,1536,149,9247,82,548,-200,1
1885,-200,-200,1264,1274,1213,1914,163,9416,192,513,-200,1
1886,-200,-200,1330,1367,1221,2008,184,9559,226,457,-200,1
1887,-200,-200,1324,1281,1245,1952,208,10614,194,436,-200,1
1888,-200,-200,901,963,1050,1609,243,10477,96,351,-200,1
1889,-200,-200,852,969,1048,1600,264,9889,98,293,-200,1
1890,-200,-200,1009,1128,1141,1738,283,9495,144,250,-200,1
1891,-200,-200,831,1053,1052,1641,289,9285,121,237,-200,1
1892,-200,-200,954,1099,1152,1706,285,9931,135,258,-200,1
1893,115,133,814,1061,1026,1564,296,7692,123,189,17,0
1894,117,131,845,1055,1039,1590,280,8613,122,232,17,0
1895,105,133,956,1067,1148,1790,236,11786,125,410,21,0
1896,114,141,1102,1114,1176,1805,215,12148,139,481,22,0
1897,103,112,994,1028,1100,1710,221,11573,114,441,18,0
1898,119,147,935,992,1081,1680,202,11043,104,472,18,0
1899,102,104,839,858,976,1547,200,11030,70,476,9,0
1900,96,97,797,857,979,1546,198,10697,70,468,1,0
1901,109,128,968,1024,1092,1706,196,10606,113,470,2,0
1902,119,138,886,946,1044,1594,193,10279,92,463,18,0
1903,103,93,764,849,940,1509,185,10286,68,487,11,0
1904,84,71,657,767,892,1466,180,10504,51,514,6,0
1905,-200,-200,540,675,838,1390,179,10355,34,508,3,1
1906,59,44,621,727,853,1417,177,10379,43,519,-200,1
1907,29,18,450,545,738,1266,177,9970,15,497,-200,1
1908,45,41,434,581,762,1277,179,9383,20,461,1,0
1909,80,84,559,713,841,1356,184,9192,40,439,5,0
1910,77,77,548,712,843,1343,189,9081,40,421,6,0
1911,68,73,525,713,841,1330,192,8728,40,397,5,0
1912,66,72,522,721,862,1335,208,8878,42,366,7,0
1913,70,77,535,740,869,1366,213,8975,45,358,7,0
1914,74,82,585,810,894,1421,218,9004,60,349,9,0
1915,64,67,521,755,844,1350,228,8615,48,314,7,0
1916,60,59,493,699,823,1311,229,8620,38,313,4,0
1917,63,61,501,719,843,1330,229,8461,42,307,5,0
1918,75,76,559,767,865,1369,238,8499,51,292,6,0
1919,79,73,589,792,873,1397,232,8442,56,302,6,0
1920,83,87,596,803,899,1426,224,8365,58,313,8,0
1921,93,98,681,856,921,1437,217,8250,70,322,1,0
1922,112,123,783,893,937,1463,208,8061,79,332,12,0
1923,103,102,738,834,901,1408,201,8149,65,350,1,0
1924,93,102,762,918,955,1511,195,8258,85,369,13,0
1925,112,142,929,1106,1065,1707,190,8327,137,382,27,0
1926,125,148,1044,1110,1035,1652,185,8320,138,394,27,0
1927,107,107,892,945,956,1509,178,8440,91,417,16,0
1928,76,61,807,835,869,1437,192,9248,65,420,6,0
1929,-200,-200,710,822,831,1418,178,9048,62,448,3,1
1930,55,43,712,774,815,1374,170,9185,52,477,-200,1
1931,37,25,568,661,781,1299,172,9178,31,472,1,0
1932,45,32,575,645,781,1320,173,9295,29,476,1,0
1933,61,48,658,690,828,1353,186,9385,36,442,2,0
1934,67,60,537,635,803,1272,202,8837,27,378,3,0
1935,60,52,486,653,811,1269,220,8335,30,319,3,0
1936,64,58,507,696,844,1292,255,8339,37,259,4,0
1937,64,54,496,697,833,1294,275,8249,38,228,3,0
1938,59,52,502,719,832,1299,287,8024,42,207,3,0
1939,41,34,430,626,771,1210,291,7771,26,196,1,0
1940,46,41,439,637,783,1215,298,7595,28,184,1,0
1941,46,41,471,723,815,1256,320,7028,42,150,2,0
1942,77,65,589,819,912,1368,303,7232,62,170,6,0
1943,83,65,598,774,894,1339,317,7450,52,162,5,0
1944,90,84,695,885,963,1447,292,7817,77,196,9,0
1945,95,89,739,930,990,1506,274,8580,88,238,11,0
1946,113,114,891,980,1025,1591,250,8408,101,269,13,0
1947,128,127,930,971,997,1573,236,8663,98,301,15,0
1948,117,117,880,916,976,1515,223,8913,84,336,12,0
1949,64,46,610,784,878,1407,214,9271,54,369,4,0
1950,28,16,518,728,836,1353,206,9597,43,399,2,0
1951,46,27,664,751,855,1418,197,9812,48,432,3,0
1952,8,4,515,588,759,1286,197,9636,21,424,-200,1
1953,-200,-200,477,539,738,1257,189,9703,14,450,-200,1
1954,32,19,477,528,736,1254,187,9694,13,454,-200,1
1955,57,48,581,609,765,1319,164,9709,23,524,-200,1
1956,60,82,763,834,909,1527,166,9785,65,521,5,0
1957,83,167,1111,1123,1108,1801,174,10017,142,509,16,0
1958,129,248,1390,1369,1252,2120,193,10185,227,460,36,0
1959,137,213,1251,1188,1175,1901,209,10683,163,436,22,0
1960,121,161,1141,1120,1111,1790,256,10773,141,333,16,0
1961,123,144,942,1069,1044,1683,289,10188,126,260,14,0
1962,120,127,795,1088,1018,1677,303,9695,131,228,14,0
1963,119,116,836,1122,1060,1721,309,10724,142,244,15,0
1964,121,124,847,1110,1071,1733,305,11278,138,262,13,0
1965,111,115,769,1054,1006,1636,307,10150,121,234,12,0
1966,128,150,968,1171,1104,1803,281,11132,157,298,18,0
1967,159,221,1157,1336,1196,1971,269,11267,214,322,3,0
1968,161,227,1367,1429,1243,2093,260,11485,250,346,35,0
1969,116,156,1101,1199,1124,1858,245,11454,166,377,24,0
1970,96,97,916,1003,1020,1716,217,12044,107,469,11,0
1971,69,78,825,878,1035,1694,193,15190,75,688,8,0
1972,58,60,693,781,986,1633,176,16296,53,816,4,0
1973,59,61,734,834,1017,1676,178,16212,65,803,6,0
1974,45,46,685,750,922,1585,186,16074,47,757,3,0
1975,23,17,524,644,830,1487,196,15443,29,684,-200,1
1976,26,18,527,583,805,1494,180,15608,20,764,-200,1
1977,-200,-200,452,505,760,1413,173,15104,11,772,-200,1
1978,24,16,466,529,783,1435,165,15318,13,823,-200,1
1979,41,39,565,613,854,1515,168,15452,24,813,1,0
1980,65,107,799,816,985,1677,173,15412,61,786,3,0
1981,94,190,1102,1067,1225,1922,169,15472,125,809,14,0
1982,100,236,1299,1283,1313,2180,171,15420,195,798,27,0
1983,103,227,1272,1156,1199,1958,185,14826,152,703,23,0
1984,89,211,1206,1051,1182,1870,196,15023,120,667,18,0
1985,86,201,1218,1063,1173,1905,204,14969,124,631,16,0
1986,89,191,1367,1178,1259,2060,216,15775,159,618,19,0
1987,88,192,1290,1171,1263,2029,240,14509,157,493,25,0
1988,73,143,1175,1100,1156,1884,257,14262,135,438,16,0
1989,78,148,1139,1065,1167,1886,246,14487,124,475,15,0
1990,95,183,1293,1213,1278,2041,248,14628,171,474,25,0
1991,109,216,1419,1351,1342,2201,237,14636,220,505,36,0
1992,95,184,1326,1292,1353,2178,230,14968,199,538,35,0
1993,101,248,1517,1501,1501,2486,215,16688,279,658,48,0
1994,88,221,1391,1289,1355,2158,210,16436,197,669,37,0
1995,77,159,1275,1169,1230,2020,206,16329,157,681,21,0
1996,75,136,1168,1048,1148,1883,205,15914,120,669,16,0
1997,81,168,1132,1088,1171,1889,202,15251,131,652,22,0
1998,57,95,977,949,1021,1764,195,15269,92,680,8,0
1999,49,70,942,877,964,1692,199,15203,75,664,-200,1
2000,38,43,804,758,887,1622,191,15043,49,690,-200,1
2001,-200,-200,805,773,885,1641,185,14962,52,707,-200,1
2002,31,30,704,662,830,1556,189,14689,32,678,-200,1
2003,23,22,657,611,792,1529,200,14742,24,637,-200,1
2004,22,25,655,639,813,1538,198,14769,28,647,-200,1
2005,33,48,751,703,890,1601,197,14843,39,653,-200,1
2006,43,73,885,854,984,1751,208,15002,69,620,-200,1
2007,53,95,955,920,1043,1777,222,14973,85,566,-200,1
2008,54,86,962,936,1054,1791,243,14724,89,490,-200,1
2009,62,102,957,930,1063,1749,250,14492,88,465,-200,1
2010,53,80,788,873,978,1669,289,13603,74,348,-200,1
2011,34,36,596,748,887,1560,296,13581,47,334,-200,1
2012,30,32,560,754,887,1523,309,13493,48,307,-200,1
2013,37,46,701,850,977,1645,318,14286,68,310,-200,1
2014,47,61,811,934,1043,1707,314,14127,89,312,-200,1
2015,44,59,724,902,1010,1676,289,13985,81,357,-200,1
2016,53,76,864,996,1094,1807,272,15135,105,425,-200,1
2017,88,145,1084,1142,1223,1965,262,15573,148,464,-200,1
2018,95,140,998,1042,1109,1888,245,15454,118,510,-200,1
2019,82,102,878,927,1026,1781,228,15353,87,561,-200,1
2020,59,89,909,928,1036,1787,219,15799,87,609,-200,1
2021,43,62,789,853,963,1732,217,15617,69,610,-200,1
2022,51,69,857,868,996,1741,208,15680,73,648,-200,1
2023,49,63,885,853,999,1756,203,16699,69,709,-200,1
2024,36,31,743,741,893,1664,189,17040,46,790,-200,1
2025,-200,-200,445,530,730,1362,181,13276,13,646,-200,1
2026,24,17,454,562,753,1414,186,13655,17,645,-200,1
2027,58,61,610,663,825,1504,176,13460,32,674,-200,1
2028,73,184,1024,982,1012,1796,176,13479,101,676,-200,1
2029,74,248,1316,1293,1221,2144,190,13393,199,617,-200,1
2030,97,220,1358,1303,1215,2180,200,13268,202,574,-200,1
2031,108,243,2202,1318,1234,2108,226,12418,208,459,-200,1
2032,93,164,1947,1152,1138,1877,273,12284,151,343,-200,1
2033,-200,-200,1227,1009,987,1697,274,11184,109,310,-200,1
2034,-200,-200,950,1019,980,1720,262,11244,111,336,-200,1
2035,-200,-200,917,1054,966,1742,268,11263,121,324,-200,1
2036,-200,-200,707,923,905,1582,287,10710,86,277,-200,1
2037,-200,-200,740,968,903,1565,287,9684,97,250,-200,1
2038,-200,-200,775,1014,914,1597,291,8811,110,223,-200,1
2039,-200,-200,1035,1199,1050,1781,290,9655,166,245,-200,1
2040,-200,-200,1001,1139,1043,1756,272,10016,147,283,-200,1
2041,-200,-200,1101,1283,1125,1899,253,9520,195,300,-200,1
2042,-200,-200,1034,1134,1058,1797,241,10333,145,348,-200,1
2043,-200,-200,786,892,951,1611,230,11993,78,431,-200,1
2044,-200,-200,844,891,944,1593,221,11521,78,439,-200,1
2045,-200,-200,866,892,959,1616,210,11780,78,481,-200,1
2046,-200,-200,909,919,974,1638,206,11754,85,492,-200,1
2047,-200,-200,724,799,880,1533,212,11799,57,476,-200,1
2048,-200,-200,715,740,853,1526,210,12338,45,501,-200,1
2049,-200,-200,827,795,912,1564,201,12342,56,531,-200,1
2050,-200,-200,786,745,863,1496,190,11745,46,540,-200,1
2051,-200,-200,445,520,729,1318,192,11240,12,511,-200,1
2052,-200,-200,607,674,830,1459,192,11662,34,531,-200,1
2053,-200,-200,1213,1209,1198,2058,206,11748,170,490,-200,1
2054,-200,-200,910,977,971,1667,218,10770,100,419,-200,1
2055,-200,-200,675,812,885,1495,228,10315,60,376,-200,1
2056,-200,-200,582,798,862,1456,248,9646,57,313,-200,1
2057,-200,-200,666,853,892,1509,260,9760,69,294,-200,1
2058,-200,-200,726,960,933,1577,270,9731,95,278,-200,1
2059,-200,-200,801,1017,975,1668,270,10277,111,293,-200,1
2060,-200,-200,711,905,927,1554,270,10419,81,296,-200,1
2061,-200,-200,790,985,993,1680,258,10720,102,326,-200,1
2062,-200,-200,924,1093,1053,1749,262,10892,133,326,27,1
2063,-200,-200,1045,1198,1116,1863,283,10418,166,275,36,1
2064,-200,-200,1088,1206,1097,1867,265,10123,169,297,33,1
2065,-200,-200,1038,1226,1116,1938,257,10317,175,318,36,1
2066,-200,-200,981,1087,1057,1769,244,10632,131,352,29,1
2067,-200,-200,820,949,973,1615,235,10518,92,369,19,1
2068,-200,-200,948,977,1016,1652,224,11006,100,410,2,1
2069,-200,-200,1067,1088,1120,1785,217,11451,131,447,29,1
2070,-200,-200,1070,1080,1076,1787,211,11864,129,481,27,1
2071,-200,-200,877,890,937,1625,207,12030,78,500,15,1
2072,-200,-200,1028,948,980,1702,198,12093,92,531,16,1
2073,-200,-200,969,853,937,1604,198,12214,69,536,13,1
2074,63,37,837,739,852,1525,196,12360,45,548,7,0
2075,71,57,904,757,858,1542,193,12650,49,573,7,0
2076,91,131,1065,894,963,1702,197,13254,79,584,12,0
2077,95,171,999,874,966,1682,198,13554,74,594,15,0
2078,96,187,986,901,983,1691,209,13387,80,548,15,0
2079,81,133,874,881,990,1685,224,12817,76,479,16,0
2080,68,87,689,780,891,1543,241,12202,53,413,11,0
2081,57,61,608,778,883,1545,259,12133,53,369,11,0
2082,68,86,706,900,914,1596,307,11287,80,260,14,0
2083,72,83,704,917,896,1577,303,10652,84,252,14,0
2084,62,61,609,811,841,1463,301,10641,60,254,1,0
2085,75,80,687,868,926,1599,276,12764,73,351,13,0
2086,92,110,976,984,1133,1897,266,16315,102,476,19,0
2087,89,108,860,939,1042,1744,304,13331,90,313,17,0
2088,105,134,1021,1118,1124,1915,278,12820,140,350,23,0
2089,111,133,1079,1183,1157,1970,266,12994,161,379,24,0
2090,102,118,826,906,989,1681,234,12646,82,444,18,0
2091,30,17,558,699,841,1508,230,14175,38,511,6,0
2092,43,26,679,791,916,1588,221,14087,56,535,8,0
2093,67,55,850,900,1008,1681,216,13674,80,536,17,0
2094,58,39,733,792,895,1574,219,13650,56,527,11,0
2095,24,15,612,702,810,1529,213,13707,38,549,6,0
2096,58,47,788,840,968,1727,175,15709,66,791,11,0
2097,-200,-200,728,859,922,1739,176,15722,70,786,11,1
2098,62,49,724,773,892,1660,171,15816,52,818,1,0
2099,34,21,543,615,806,1525,166,15002,24,802,5,0
2100,46,33,616,659,827,1552,168,14739,31,774,7,0
2101,62,63,677,776,881,1623,183,13810,52,665,1,0
2102,70,73,723,808,877,1614,204,13196,59,558,12,0
2103,54,51,529,638,784,1412,216,11533,28,453,7,0
2104,61,61,528,675,806,1414,231,10983,34,394,9,0
2105,53,52,491,653,775,1365,254,10058,30,316,8,0
2106,49,49,489,676,773,1374,266,9928,34,290,8,0
2107,48,40,450,603,734,1303,259,9475,23,288,5,0
2108,45,36,451,635,757,1345,270,9810,27,280,5,0
2109,60,51,512,688,817,1435,236,10917,36,381,7,0
2110,59,56,525,720,815,1418,259,10529,42,320,9,0
2111,67,71,556,757,844,1445,263,10643,49,315,1,0
2112,72,79,599,807,880,1510,239,10774,59,368,12,0
2113,88,117,694,838,906,1547,237,10609,66,368,13,0
2114,94,127,744,882,904,1549,225,10157,76,378,16,0
2115,89,118,724,858,877,1535,218,10115,70,392,14,0
2116,96,130,804,879,918,1569,209,10400,75,426,17,0
2117,98,131,862,914,930,1631,200,10555,84,456,17,0
2118,95,102,811,858,870,1557,193,10590,70,479,14,0
2119,64,48,627,703,793,1439,187,10462,39,490,8,0
2120,38,22,575,626,760,1386,178,10938,26,541,4,0
2121,-200,-200,589,588,733,1394,186,11206,20,527,3,1
2122,34,22,579,591,726,1386,172,11270,21,579,-200,1
2123,40,44,605,613,732,1413,182,11155,24,541,5,0
2124,76,167,974,962,933,1705,173,11289,96,576,15,0
2125,90,220,1132,1162,1061,1898,199,11354,154,494,26,0
2126,118,285,1378,1428,1201,2249,217,11321,250,442,43,0
2127,118,272,1160,1151,1065,1894,235,11386,151,400,31,0
2128,122,238,1213,1222,1075,1943,284,11345,174,297,29,0
2129,120,207,1057,1119,998,1780,316,10994,141,241,25,0
2130,132,152,832,1042,922,1744,313,10816,118,241,19,0
2131,115,185,983,1147,1023,1842,344,10857,149,204,25,0
2132,127,184,1047,1180,1039,1815,337,10988,160,213,25,0
2133,126,205,1078,1195,1054,1848,359,10999,165,189,28,0
2134,113,172,979,1155,1022,1840,343,10279,152,194,23,0
2135,124,227,1139,1266,1082,1910,335,10112,189,199,33,0
2136,108,187,1111,1268,1056,1896,305,10386,190,242,28,0
2137,142,290,1470,1524,1243,2281,303,11161,289,262,48,0
2138,125,155,980,1097,1029,1827,270,12898,134,367,25,0
2139,116,108,893,1011,1004,1754,246,12752,109,419,2,0
2140,101,94,858,937,979,1683,233,12566,89,445,18,0
2141,101,103,904,919,972,1668,224,12544,85,469,17,0
2142,92,78,905,846,942,1615,217,13019,67,508,13,0
2143,55,38,678,720,825,1511,210,12794,42,519,7,0
2144,42,26,586,621,780,1452,205,12926,25,543,5,0
2145,-200,-200,608,565,746,1423,209,12852,17,525,4,1
2146,30,19,514,538,734,1400,210,13031,14,531,3,0
2147,40,35,588,640,785,1467,196,12851,28,571,5,0
2148,69,126,884,931,946,1745,182,12903,88,623,14,0
2149,100,309,1338,1279,1201,2144,195,12966,194,577,33,0
2150,125,376,1708,1688,1377,2746,216,13130,361,517,58,0
2151,174,441,1681,1481,1346,2367,239,13029,271,444,5,0
2152,171,309,1509,1268,1230,2049,281,13120,190,352,35,0
2153,149,220,1330,1208,1160,1925,314,12980,169,286,29,0
2154,124,168,1138,1171,1146,1902,337,13095,157,255,25,0
2155,119,149,963,1121,1078,1806,359,12103,141,208,23,0
2156,130,160,1015,1194,1111,1875,375,11529,165,181,24,0
2157,143,177,1008,1141,1083,1793,377,11383,148,177,26,0
2158,-200,-200,898,1083,1056,1723,378,11219,130,174,22,1
2159,183,176,1215,1334,1220,2066,366,12445,214,206,35,0
2160,161,202,1334,1393,1268,2144,325,12502,236,260,39,0
2161,170,255,1380,1430,1256,2151,308,11832,250,272,45,0
