,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),NMHC(GT),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),target
1702,138,145,969,1108,0,1248,1701,326,9350,137,193,22,27
1703,148,192,1267,1342,0,1401,1959,312,9064,217,203,35,22
1704,168,231,1402,1396,0,1401,2009,277,9106,237,248,41,35
1705,172,248,1437,1354,0,1444,1956,257,9080,221,279,44,41
1706,179,267,1382,1312,0,1379,1870,241,8879,206,299,45,44
1707,143,181,1280,1097,0,1251,1680,222,9072,134,344,29,45
1708,137,163,1250,1077,0,1269,1706,207,9149,128,380,26,29
1709,117,141,1359,1060,0,1242,1693,202,9983,123,428,21,26
1710,93,78,1102,850,0,1045,1506,205,10004,68,420,12,21
1711,64,42,768,698,0,937,1382,201,9763,38,420,6,12
1712,58,35,656,622,0,875,1331,200,9571,25,415,3,6
1713,0,0,683,633,0,889,1344,163,9461,27,516,3,3
1714,47,33,670,640,0,888,1330,165,9320,28,502,0,3
1715,47,38,656,624,0,881,1319,164,9310,26,502,3,0
1716,62,65,926,856,0,998,1488,149,9203,70,547,7,3
1717,113,296,1677,1460,0,1517,2205,164,9474,262,513,42,7
1718,126,303,1828,1509,0,1522,2275,182,9575,282,462,48,42
1719,139,244,1752,1303,0,1417,1964,207,9639,202,400,34,48
1720,148,216,1581,1214,0,1329,1845,265,9217,171,270,28,34
1721,117,137,1132,1023,0,1203,1622,285,9150,112,238,18,28
1722,106,120,1037,1037,0,1234,1658,297,9714,116,237,19,18
1723,98,100,1023,1090,0,1286,1719,317,9966,132,217,2,19
1724,98,103,1022,1075,0,1298,1690,317,9902,127,215,19,2
1725,110,123,989,1084,0,1308,1724,328,9515,130,195,2,19
1726,114,136,925,1099,0,1276,1680,325,8948,135,186,23,2
1727,122,158,795,985,0,1234,1572,302,9524,102,226,27,23
1728,155,216,1263,1300,0,1419,1923,276,9382,201,257,36,27
1729,145,211,1184,1273,0,1325,1815,259,8195,191,249,38,36
1730,146,202,1272,1224,0,1346,1794,239,8589,175,294,35,38
1731,130,147,1177,1110,0,1241,1698,223,8515,138,321,25,35
1732,126,160,1231,1094,0,1274,1682,205,8565,133,359,25,25
1733,127,162,1243,1144,0,1321,1745,198,8509,148,372,3,25
1734,126,194,1427,1240,0,1424,1841,191,9158,180,419,37,3
1735,124,167,1454,1178,0,1357,1782,178,9344,160,461,33,37
1736,93,91,1183,966,0,1123,1594,176,9465,97,476,15,33
1737,0,0,908,820,0,1003,1455,179,9394,62,463,7,15
1738,58,42,821,713,0,951,1385,169,9544,40,498,0,7
1739,59,50,777,687,0,941,1374,158,9615,36,538,5,0
1740,66,61,888,745,0,986,1426,165,9928,46,535,5,5
1741,80,107,1076,947,0,1153,1643,172,10276,92,529,12,5
1742,94,139,1285,1137,0,1323,1846,193,10723,146,483,22,12
1743,102,165,1315,1040,0,1315,1740,206,11287,117,471,22,22
1744,96,139,1250,1015,0,1303,1731,237,11530,110,400,21,22
1745,91,113,978,1037,0,1238,1698,256,10530,116,325,18,21
1746,104,138,1072,1080,0,1259,1736,272,9989,129,281,22,18
1747,84,104,1064,1070,0,1246,1747,279,10394,126,281,2,22
1748,76,78,825,912,0,1154,1605,283,10539,83,278,14,2
1749,87,97,924,997,0,1237,1688,292,10810,105,270,18,14
1750,101,115,966,1041,0,1315,1767,289,11503,117,293,21,18
1751,115,152,1302,1174,0,1466,1965,254,12771,158,398,28,21
1752,110,157,1256,1113,0,1409,1850,252,12642,139,401,28,28
1753,103,132,1068,1171,0,1366,1933,245,11963,157,394,27,28
1754,90,98,1070,1011,0,1241,1748,223,12088,109,454,18,27
1755,68,65,792,832,0,1123,1565,212,12034,64,483,12,18
1756,85,101,1017,1075,0,1321,1891,206,12082,127,505,26,12
1757,100,134,1207,1159,0,1397,1949,202,12340,153,529,31,26
1758,114,177,1499,1311,0,1507,2107,198,12488,205,545,41,31
1759,108,179,1474,1177,0,1405,1931,195,12624,159,562,36,41
1760,78,105,1163,994,0,1192,1780,190,12581,104,580,19,36
1761,0,0,1189,1070,0,1199,1873,181,12679,126,616,19,19
1762,55,49,815,761,0,973,1501,180,11788,49,576,0,19
1763,37,27,507,591,0,864,1374,177,11215,21,560,3,0
1764,53,41,506,598,0,886,1374,179,10655,22,524,4,3
1765,79,78,716,713,0,988,1455,189,10668,40,493,8,4
1766,65,68,795,729,0,1008,1490,200,11199,43,486,8,8
1767,64,64,594,698,0,976,1393,206,9841,38,412,8,8
1768,66,67,565,718,0,978,1392,236,9749,41,340,8,8
1769,53,54,523,740,0,987,1407,267,9688,45,281,9,8
1770,69,67,591,778,0,1030,1452,268,9785,53,281,12,9
1771,57,51,559,723,0,955,1393,277,9467,42,258,1,12
1772,36,28,430,673,0,924,1346,288,8864,33,227,8,1
1773,57,51,522,758,0,1005,1434,268,9462,49,273,11,8
1774,73,77,641,816,0,1059,1468,259,9423,61,287,15,11
1775,81,93,738,851,0,1079,1490,258,9076,69,277,15,15
1776,91,94,778,850,0,1070,1502,248,9077,68,295,14,15
1777,65,69,718,805,0,1085,1528,253,11513,58,363,11,14
1778,56,57,689,787,0,1066,1552,239,11787,55,404,9,11
1779,69,74,852,815,0,1094,1563,214,11764,61,466,1,9
1780,73,75,854,814,0,1110,1571,205,11730,60,493,11,1
1781,76,73,664,719,0,968,1388,192,9339,42,423,1,11
1782,67,56,544,714,0,906,1351,192,8352,41,379,7,1
1783,44,31,461,615,0,849,1276,172,8394,24,431,5,7
1784,21,13,352,500,0,774,1169,158,8052,10,452,2,5
1785,0,0,308,450,0,746,1111,157,7464,6,423,0,2
1786,19,14,301,437,0,753,1110,163,7513,5,410,0,0
1787,29,23,307,466,0,749,1089,161,6640,7,365,1,0
1788,69,72,441,642,0,864,1255,165,6752,28,362,5,1
1789,111,165,775,893,0,1002,1394,175,6111,78,309,16,5
1790,81,118,907,966,0,970,1379,184,5046,97,240,2,16
1791,56,85,763,853,0,898,1271,192,5235,69,238,13,2
1792,90,116,649,800,0,847,1179,217,4642,58,181,1,13
1793,85,112,598,788,0,847,1162,223,4513,55,170,9,1
1794,83,100,579,848,0,871,1208,228,4404,68,161,12,9
1795,85,109,596,866,0,869,1212,238,4222,72,145,13,12
1796,85,111,595,854,0,875,1200,251,4129,69,131,11,13
1797,81,109,607,878,0,895,1238,258,4219,75,129,12,11
1798,92,114,662,885,0,926,1259,255,4495,77,140,14,12
1799,108,139,822,1048,0,996,1397,245,4663,120,154,2,14
1800,106,157,987,1100,0,997,1392,226,4656,135,172,24,2
1801,114,147,966,1048,0,1006,1416,212,4710,120,189,21,24
1802,96,102,763,845,0,895,1241,191,5010,67,228,12,21
1803,77,73,617,751,0,862,1213,184,5169,48,246,7,12
1804,73,65,564,756,0,858,1209,173,5032,48,256,7,7
1805,86,76,646,762,0,853,1184,165,4642,50,249,8,7
1806,84,65,753,727,0,859,1187,167,5316,43,283,5,8
1807,56,41,669,634,0,837,1150,155,5641,27,322,2,5
1808,31,17,435,493,0,746,1063,175,5773,9,291,0,2
1809,0,0,436,515,0,752,1068,133,5393,12,356,0,0
1810,30,19,403,489,0,742,1048,140,5355,9,337,0,0
1811,51,45,532,560,0,774,1107,116,5462,17,400,1,0
1812,45,40,536,630,0,798,1125,134,5272,26,345,2,1
1813,82,101,917,932,0,1002,1405,152,5329,88,310,11,2
1814,100,183,1481,1356,0,1210,1786,163,5066,222,275,3,11
1815,91,149,1187,1158,0,1058,1459,192,4390,153,200,21,3
1816,130,207,1220,1118,0,1106,1451,249,4038,140,130,26,21
1817,155,289,1381,1253,0,1153,1541,283,3754,185,99,32,26
1818,114,159,1103,1101,0,1047,1391,292,3914,135,98,21,32
1819,127,162,1105,1172,0,1091,1459,316,4190,158,92,22,21
1820,138,173,1248,1253,0,1162,1595,326,4499,185,93,24,22
1821,0,0,976,1070,0,1059,1401,326,4463,126,92,0,24
1822,0,0,898,1051,0,1083,1390,323,4747,120,100,0,0
1823,0,0,1038,1161,0,1150,1512,321,4996,154,107,0,0
1824,0,0,1395,1426,0,1321,1859,297,5007,249,122,0,0
1825,0,0,0,0,0,0,0,0,0,0,0,0,0
1826,0,0,0,0,0,0,0,0,0,0,0,0,0
1827,0,0,0,0,0,0,0,0,0,0,0,0,0
1828,0,0,0,0,0,0,0,0,0,0,0,0,0
1829,0,0,0,0,0,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,0,0,0,0,0,0,0,0,0,0,0,0,0
1833,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,0,0,0,0,0,0,0,0,0,0,0,0,0
1835,0,0,0,0,0,0,0,0,0,0,0,0,0
1836,0,0,0,0,0,0,0,0,0,0,0,0,0
1837,0,0,0,0,0,0,0,0,0,0,0,0,0
1838,0,0,0,0,0,0,0,0,0,0,0,0,0
1839,0,0,1608,1776,0,1303,1467,204,8440,402,357,4,0
1840,136,188,1327,1146,0,1137,1392,261,7938,149,238,22,4
1841,135,159,1292,1109,0,1139,1436,288,8193,138,211,18,22
1842,115,146,1114,1059,0,1099,1416,296,7897,123,194,16,18
1843,112,127,1060,1116,0,1088,1449,316,7489,140,164,18,16
1844,112,128,915,1041,0,1027,1345,323,6303,118,133,16,18
1845,109,120,893,1049,0,1014,1366,318,6249,120,135,16,16
1846,112,115,768,968,0,969,1325,318,6394,97,138,13,16
1847,0,0,1126,1238,0,1120,1591,310,7039,180,159,0,13
1848,0,0,1284,1368,0,1131,1707,286,7216,226,187,0,0
1849,0,0,1269,1368,0,1130,1709,267,6754,227,195,0,0
1850,0,0,1290,1304,0,1123,1720,250,7616,203,244,0,0
1851,0,0,1119,1086,0,1069,1536,228,7804,131,284,0,0
1852,0,0,1027,1010,0,1021,1480,217,7458,109,292,0,0
1853,0,0,1155,1093,0,1101,1564,211,7617,133,309,0,0
1854,0,0,1078,960,0,1026,1471,199,8349,95,363,0,0
1855,0,0,954,841,0,949,1393,186,8355,66,393,0,0
1856,0,0,726,687,0,846,1288,186,8228,36,388,0,0
1857,0,0,656,606,0,811,1248,190,8468,23,389,0,0
1858,0,0,573,586,0,803,1232,180,8394,20,409,0,0
1859,0,0,780,715,0,882,1367,155,8505,41,486,0,0
1860,0,0,920,836,0,963,1429,160,8659,65,479,0,0
1861,0,0,1544,1424,0,1413,2102,170,8830,248,460,0,0
1862,0,0,1789,1650,0,1485,2337,190,9039,344,416,0,0
1863,0,0,1629,1418,0,1354,2043,218,9002,245,350,0,0
1864,0,0,997,939,0,1074,1513,256,9088,90,280,0,0
1865,0,0,847,914,0,1022,1446,264,7853,84,231,0,0
1866,0,0,958,1034,0,1100,1586,271,8560,115,242,0,0
1867,0,0,854,1052,0,1073,1574,275,7565,121,209,0,0
1868,0,0,782,983,0,1049,1515,295,8015,101,197,0,0
1869,0,0,888,1048,0,1086,1580,306,8014,119,186,0,0
1870,0,0,764,1027,0,1059,1521,313,7106,113,158,0,0
1871,0,0,1170,1301,0,1244,1801,294,8452,202,210,0,0
1872,0,0,1385,1423,0,1320,1986,270,8256,248,235,0,0
1873,0,0,1237,1304,0,1236,1868,258,8758,203,267,0,0
1874,0,0,1127,1187,0,1136,1735,237,8225,162,284,0,0
1875,0,0,1091,1093,0,1110,1661,213,8284,133,330,0,0
1876,0,0,972,990,0,1026,1553,205,8435,103,353,0,0
1877,0,0,949,961,0,1038,1530,194,8511,96,381,0,0
1878,0,0,890,892,0,975,1480,194,9045,78,407,0,0
1879,0,0,763,814,0,908,1403,178,9030,61,449,0,0
1880,0,0,833,820,0,896,1439,166,9295,62,497,0,0
1881,0,0,675,697,0,810,1321,165,9028,38,486,0,0
1882,0,0,672,638,0,789,1309,152,9190,28,536,0,0
1883,0,0,626,678,0,814,1339,155,9019,34,517,0,0
1884,0,0,882,907,0,958,1536,149,9247,82,548,0,0
1885,0,0,1264,1274,0,1213,1914,163,9416,192,513,0,0
1886,0,0,1330,1367,0,1221,2008,184,9559,226,457,0,0
1887,0,0,1324,1281,0,1245,1952,208,10614,194,436,0,0
1888,0,0,901,963,0,1050,1609,243,10477,96,351,0,0
1889,0,0,852,969,0,1048,1600,264,9889,98,293,0,0
1890,0,0,1009,1128,0,1141,1738,283,9495,144,250,0,0
1891,0,0,831,1053,0,1052,1641,289,9285,121,237,0,0
1892,0,0,954,1099,0,1152,1706,285,9931,135,258,0,0
1893,115,133,814,1061,0,1026,1564,296,7692,123,189,17,0
1894,117,131,845,1055,0,1039,1590,280,8613,122,232,17,17
1895,105,133,956,1067,0,1148,1790,236,11786,125,410,21,17
1896,114,141,1102,1114,0,1176,1805,215,12148,139,481,22,21
1897,103,112,994,1028,0,1100,1710,221,11573,114,441,18,22
1898,119,147,935,992,0,1081,1680,202,11043,104,472,18,18
1899,102,104,839,858,0,976,1547,200,11030,70,476,9,18
1900,96,97,797,857,0,979,1546,198,10697,70,468,1,9
1901,109,128,968,1024,0,1092,1706,196,10606,113,470,2,1
1902,119,138,886,946,0,1044,1594,193,10279,92,463,18,2
1903,103,93,764,849,0,940,1509,185,10286,68,487,11,18
1904,84,71,657,767,0,892,1466,180,10504,51,514,6,11
1905,0,0,540,675,0,838,1390,179,10355,34,508,3,6
1906,59,44,621,727,0,853,1417,177,10379,43,519,0,3
1907,29,18,450,545,0,738,1266,177,9970,15,497,0,0
1908,45,41,434,581,0,762,1277,179,9383,20,461,1,0
1909,80,84,559,713,0,841,1356,184,9192,40,439,5,1
1910,77,77,548,712,0,843,1343,189,9081,40,421,6,5
1911,68,73,525,713,0,841,1330,192,8728,40,397,5,6
1912,66,72,522,721,0,862,1335,208,8878,42,366,7,5
1913,70,77,535,740,0,869,1366,213,8975,45,358,7,7
1914,74,82,585,810,0,894,1421,218,9004,60,349,9,7
1915,64,67,521,755,0,844,1350,228,8615,48,314,7,9
1916,60,59,493,699,0,823,1311,229,8620,38,313,4,7
1917,63,61,501,719,0,843,1330,229,8461,42,307,5,4
1918,75,76,559,767,0,865,1369,238,8499,51,292,6,5
1919,79,73,589,792,0,873,1397,232,8442,56,302,6,6
1920,83,87,596,803,0,899,1426,224,8365,58,313,8,6
1921,93,98,681,856,0,921,1437,217,8250,70,322,1,8
1922,112,123,783,893,0,937,1463,208,8061,79,332,12,1
1923,103,102,738,834,0,901,1408,201,8149,65,350,1,12
1924,93,102,762,918,0,955,1511,195,8258,85,369,13,1
1925,112,142,929,1106,0,1065,1707,190,8327,137,382,27,13
1926,125,148,1044,1110,0,1035,1652,185,8320,138,394,27,27
1927,107,107,892,945,0,956,1509,178,8440,91,417,16,27
1928,76,61,807,835,0,869,1437,192,9248,65,420,6,16
1929,0,0,710,822,0,831,1418,178,9048,62,448,3,6
1930,55,43,712,774,0,815,1374,170,9185,52,477,0,3
1931,37,25,568,661,0,781,1299,172,9178,31,472,1,0
1932,45,32,575,645,0,781,1320,173,9295,29,476,1,1
1933,61,48,658,690,0,828,1353,186,9385,36,442,2,1
1934,67,60,537,635,0,803,1272,202,8837,27,378,3,2
1935,60,52,486,653,0,811,1269,220,8335,30,319,3,3
1936,64,58,507,696,0,844,1292,255,8339,37,259,4,3
1937,64,54,496,697,0,833,1294,275,8249,38,228,3,4
1938,59,52,502,719,0,832,1299,287,8024,42,207,3,3
1939,41,34,430,626,0,771,1210,291,7771,26,196,1,3
1940,46,41,439,637,0,783,1215,298,7595,28,184,1,1
1941,46,41,471,723,0,815,1256,320,7028,42,150,2,1
1942,77,65,589,819,0,912,1368,303,7232,62,170,6,2
1943,83,65,598,774,0,894,1339,317,7450,52,162,5,6
1944,90,84,695,885,0,963,1447,292,7817,77,196,9,5
1945,95,89,739,930,0,990,1506,274,8580,88,238,11,9
1946,113,114,891,980,0,1025,1591,250,8408,101,269,13,11
1947,128,127,930,971,0,997,1573,236,8663,98,301,15,13
1948,117,117,880,916,0,976,1515,223,8913,84,336,12,15
1949,64,46,610,784,0,878,1407,214,9271,54,369,4,12
1950,28,16,518,728,0,836,1353,206,9597,43,399,2,4
1951,46,27,664,751,0,855,1418,197,9812,48,432,3,2
1952,8,4,515,588,0,759,1286,197,9636,21,424,0,3
1953,0,0,477,539,0,738,1257,189,9703,14,450,0,0
1954,32,19,477,528,0,736,1254,187,9694,13,454,0,0
1955,57,48,581,609,0,765,1319,164,9709,23,524,0,0
1956,60,82,763,834,0,909,1527,166,9785,65,521,5,0
1957,83,167,1111,1123,0,1108,1801,174,10017,142,509,16,5
1958,129,248,1390,1369,0,1252,2120,193,10185,227,460,36,16
1959,137,213,1251,1188,0,1175,1901,209,10683,163,436,22,36
1960,121,161,1141,1120,0,1111,1790,256,10773,141,333,16,22
1961,123,144,942,1069,0,1044,1683,289,10188,126,260,14,16
1962,120,127,795,1088,0,1018,1677,303,9695,131,228,14,14
1963,119,116,836,1122,0,1060,1721,309,10724,142,244,15,14
1964,121,124,847,1110,0,1071,1733,305,11278,138,262,13,15
1965,111,115,769,1054,0,1006,1636,307,10150,121,234,12,13
1966,128,150,968,1171,0,1104,1803,281,11132,157,298,18,12
1967,159,221,1157,1336,0,1196,1971,269,11267,214,322,3,18
1968,161,227,1367,1429,0,1243,2093,260,11485,250,346,35,3
1969,116,156,1101,1199,0,1124,1858,245,11454,166,377,24,35
1970,96,97,916,1003,0,1020,1716,217,12044,107,469,11,24
1971,69,78,825,878,0,1035,1694,193,15190,75,688,8,11
1972,58,60,693,781,0,986,1633,176,16296,53,816,4,8
1973,59,61,734,834,0,1017,1676,178,16212,65,803,6,4
1974,45,46,685,750,0,922,1585,186,16074,47,757,3,6
1975,23,17,524,644,0,830,1487,196,15443,29,684,0,3
1976,26,18,527,583,0,805,1494,180,15608,20,764,0,0
1977,0,0,452,505,0,760,1413,173,15104,11,772,0,0
1978,24,16,466,529,0,783,1435,165,15318,13,823,0,0
1979,41,39,565,613,0,854,1515,168,15452,24,813,1,0
1980,65,107,799,816,0,985,1677,173,15412,61,786,3,1
1981,94,190,1102,1067,0,1225,1922,169,15472,125,809,14,3
1982,100,236,1299,1283,0,1313,2180,171,15420,195,798,27,14
1983,103,227,1272,1156,0,1199,1958,185,14826,152,703,23,27
1984,89,211,1206,1051,0,1182,1870,196,15023,120,667,18,23
1985,86,201,1218,1063,0,1173,1905,204,14969,124,631,16,18
1986,89,191,1367,1178,0,1259,2060,216,15775,159,618,19,16
1987,88,192,1290,1171,0,1263,2029,240,14509,157,493,25,19
1988,73,143,1175,1100,0,1156,1884,257,14262,135,438,16,25
1989,78,148,1139,1065,0,1167,1886,246,14487,124,475,15,16
1990,95,183,1293,1213,0,1278,2041,248,14628,171,474,25,15
1991,109,216,1419,1351,0,1342,2201,237,14636,220,505,36,25
1992,95,184,1326,1292,0,1353,2178,230,14968,199,538,35,36
1993,101,248,1517,1501,0,1501,2486,215,16688,279,658,48,35
1994,88,221,1391,1289,0,1355,2158,210,16436,197,669,37,48
1995,77,159,1275,1169,0,1230,2020,206,16329,157,681,21,37
1996,75,136,1168,1048,0,1148,1883,205,15914,120,669,16,21
1997,81,168,1132,1088,0,1171,1889,202,15251,131,652,22,16
1998,57,95,977,949,0,1021,1764,195,15269,92,680,8,22
1999,49,70,942,877,0,964,1692,199,15203,75,664,0,8
2000,38,43,804,758,0,887,1622,191,15043,49,690,0,0
2001,0,0,805,773,0,885,1641,185,14962,52,707,0,0
2002,31,30,704,662,0,830,1556,189,14689,32,678,0,0
2003,23,22,657,611,0,792,1529,200,14742,24,637,0,0
2004,22,25,655,639,0,813,1538,198,14769,28,647,0,0
2005,33,48,751,703,0,890,1601,197,14843,39,653,0,0
2006,43,73,885,854,0,984,1751,208,15002,69,620,0,0
2007,53,95,955,920,0,1043,1777,222,14973,85,566,0,0
2008,54,86,962,936,0,1054,1791,243,14724,89,490,0,0
2009,62,102,957,930,0,1063,1749,250,14492,88,465,0,0
2010,53,80,788,873,0,978,1669,289,13603,74,348,0,0
2011,34,36,596,748,0,887,1560,296,13581,47,334,0,0
2012,30,32,560,754,0,887,1523,309,13493,48,307,0,0
2013,37,46,701,850,0,977,1645,318,14286,68,310,0,0
2014,47,61,811,934,0,1043,1707,314,14127,89,312,0,0
2015,44,59,724,902,0,1010,1676,289,13985,81,357,0,0
2016,53,76,864,996,0,1094,1807,272,15135,105,425,0,0
2017,88,145,1084,1142,0,1223,1965,262,15573,148,464,0,0
2018,95,140,998,1042,0,1109,1888,245,15454,118,510,0,0
2019,82,102,878,927,0,1026,1781,228,15353,87,561,0,0
2020,59,89,909,928,0,1036,1787,219,15799,87,609,0,0
2021,43,62,789,853,0,963,1732,217,15617,69,610,0,0
2022,51,69,857,868,0,996,1741,208,15680,73,648,0,0
2023,49,63,885,853,0,999,1756,203,16699,69,709,0,0
2024,36,31,743,741,0,893,1664,189,17040,46,790,0,0
2025,0,0,445,530,0,730,1362,181,13276,13,646,0,0
2026,24,17,454,562,0,753,1414,186,13655,17,645,0,0
2027,58,61,610,663,0,825,1504,176,13460,32,674,0,0
2028,73,184,1024,982,0,1012,1796,176,13479,101,676,0,0
2029,74,248,1316,1293,0,1221,2144,190,13393,199,617,0,0
2030,97,220,1358,1303,0,1215,2180,200,13268,202,574,0,0
2031,108,243,2202,1318,0,1234,2108,226,12418,208,459,0,0
2032,93,164,1947,1152,0,1138,1877,273,12284,151,343,0,0
2033,0,0,1227,1009,0,987,1697,274,11184,109,310,0,0
2034,0,0,950,1019,0,980,1720,262,11244,111,336,0,0
2035,0,0,917,1054,0,966,1742,268,11263,121,324,0,0
2036,0,0,707,923,0,905,1582,287,10710,86,277,0,0
2037,0,0,740,968,0,903,1565,287,9684,97,250,0,0
2038,0,0,775,1014,0,914,1597,291,8811,110,223,0,0
2039,0,0,1035,1199,0,1050,1781,290,9655,166,245,0,0
2040,0,0,1001,1139,0,1043,1756,272,10016,147,283,0,0
2041,0,0,1101,1283,0,1125,1899,253,9520,195,300,0,0
2042,0,0,1034,1134,0,1058,1797,241,10333,145,348,0,0
2043,0,0,786,892,0,951,1611,230,11993,78,431,0,0
2044,0,0,844,891,0,944,1593,221,11521,78,439,0,0
2045,0,0,866,892,0,959,1616,210,11780,78,481,0,0
2046,0,0,909,919,0,974,1638,206,11754,85,492,0,0
2047,0,0,724,799,0,880,1533,212,11799,57,476,0,0
2048,0,0,715,740,0,853,1526,210,12338,45,501,0,0
2049,0,0,827,795,0,912,1564,201,12342,56,531,0,0
2050,0,0,786,745,0,863,1496,190,11745,46,540,0,0
2051,0,0,445,520,0,729,1318,192,11240,12,511,0,0
2052,0,0,607,674,0,830,1459,192,11662,34,531,0,0
2053,0,0,1213,1209,0,1198,2058,206,11748,170,490,0,0
2054,0,0,910,977,0,971,1667,218,10770,100,419,0,0
2055,0,0,675,812,0,885,1495,228,10315,60,376,0,0
2056,0,0,582,798,0,862,1456,248,9646,57,313,0,0
2057,0,0,666,853,0,892,1509,260,9760,69,294,0,0
2058,0,0,726,960,0,933,1577,270,9731,95,278,0,0
2059,0,0,801,1017,0,975,1668,270,10277,111,293,0,0
2060,0,0,711,905,0,927,1554,270,10419,81,296,0,0
2061,0,0,790,985,0,993,1680,258,10720,102,326,0,0
2062,0,0,924,1093,0,1053,1749,262,10892,133,326,27,0
2063,0,0,1045,1198,0,1116,1863,283,10418,166,275,36,27
2064,0,0,1088,1206,0,1097,1867,265,10123,169,297,33,36
2065,0,0,1038,1226,0,1116,1938,257,10317,175,318,36,33
2066,0,0,981,1087,0,1057,1769,244,10632,131,352,29,36
2067,0,0,820,949,0,973,1615,235,10518,92,369,19,29
2068,0,0,948,977,0,1016,1652,224,11006,100,410,2,19
2069,0,0,1067,1088,0,1120,1785,217,11451,131,447,29,2
2070,0,0,1070,1080,0,1076,1787,211,11864,129,481,27,29
2071,0,0,877,890,0,937,1625,207,12030,78,500,15,27
2072,0,0,1028,948,0,980,1702,198,12093,92,531,16,15
2073,0,0,969,853,0,937,1604,198,12214,69,536,13,16
2074,63,37,837,739,0,852,1525,196,12360,45,548,7,13
2075,71,57,904,757,0,858,1542,193,12650,49,573,7,7
2076,91,131,1065,894,0,963,1702,197,13254,79,584,12,7
2077,95,171,999,874,0,966,1682,198,13554,74,594,15,12
2078,96,187,986,901,0,983,1691,209,13387,80,548,15,15
2079,81,133,874,881,0,990,1685,224,12817,76,479,16,15
2080,68,87,689,780,0,891,1543,241,12202,53,413,11,16
2081,57,61,608,778,0,883,1545,259,12133,53,369,11,11
2082,68,86,706,900,0,914,1596,307,11287,80,260,14,11
2083,72,83,704,917,0,896,1577,303,10652,84,252,14,14
2084,62,61,609,811,0,841,1463,301,10641,60,254,1,14
2085,75,80,687,868,0,926,1599,276,12764,73,351,13,1
2086,92,110,976,984,0,1133,1897,266,16315,102,476,19,13
2087,89,108,860,939,0,1042,1744,304,13331,90,313,17,19
2088,105,134,1021,1118,0,1124,1915,278,12820,140,350,23,17
2089,111,133,1079,1183,0,1157,1970,266,12994,161,379,24,23
2090,102,118,826,906,0,989,1681,234,12646,82,444,18,24
2091,30,17,558,699,0,841,1508,230,14175,38,511,6,18
2092,43,26,679,791,0,916,1588,221,14087,56,535,8,6
2093,67,55,850,900,0,1008,1681,216,13674,80,536,17,8
2094,58,39,733,792,0,895,1574,219,13650,56,527,11,17
2095,24,15,612,702,0,810,1529,213,13707,38,549,6,11
2096,58,47,788,840,0,968,1727,175,15709,66,791,11,6
2097,0,0,728,859,0,922,1739,176,15722,70,786,11,11
2098,62,49,724,773,0,892,1660,171,15816,52,818,1,11
2099,34,21,543,615,0,806,1525,166,15002,24,802,5,1
2100,46,33,616,659,0,827,1552,168,14739,31,774,7,5
2101,62,63,677,776,0,881,1623,183,13810,52,665,1,7
2102,70,73,723,808,0,877,1614,204,13196,59,558,12,1
2103,54,51,529,638,0,784,1412,216,11533,28,453,7,12
2104,61,61,528,675,0,806,1414,231,10983,34,394,9,7
2105,53,52,491,653,0,775,1365,254,10058,30,316,8,9
2106,49,49,489,676,0,773,1374,266,9928,34,290,8,8
2107,48,40,450,603,0,734,1303,259,9475,23,288,5,8
2108,45,36,451,635,0,757,1345,270,9810,27,280,5,5
2109,60,51,512,688,0,817,1435,236,10917,36,381,7,5
2110,59,56,525,720,0,815,1418,259,10529,42,320,9,7
2111,67,71,556,757,0,844,1445,263,10643,49,315,1,9
2112,72,79,599,807,0,880,1510,239,10774,59,368,12,1
2113,88,117,694,838,0,906,1547,237,10609,66,368,13,12
2114,94,127,744,882,0,904,1549,225,10157,76,378,16,13
2115,89,118,724,858,0,877,1535,218,10115,70,392,14,16
2116,96,130,804,879,0,918,1569,209,10400,75,426,17,14
2117,98,131,862,914,0,930,1631,200,10555,84,456,17,17
2118,95,102,811,858,0,870,1557,193,10590,70,479,14,17
2119,64,48,627,703,0,793,1439,187,10462,39,490,8,14
2120,38,22,575,626,0,760,1386,178,10938,26,541,4,8
2121,0,0,589,588,0,733,1394,186,11206,20,527,3,4
2122,34,22,579,591,0,726,1386,172,11270,21,579,0,3
2123,40,44,605,613,0,732,1413,182,11155,24,541,5,0
2124,76,167,974,962,0,933,1705,173,11289,96,576,15,5
2125,90,220,1132,1162,0,1061,1898,199,11354,154,494,26,15
2126,118,285,1378,1428,0,1201,2249,217,11321,250,442,43,26
2127,118,272,1160,1151,0,1065,1894,235,11386,151,400,31,43
2128,122,238,1213,1222,0,1075,1943,284,11345,174,297,29,31
2129,120,207,1057,1119,0,998,1780,316,10994,141,241,25,29
2130,132,152,832,1042,0,922,1744,313,10816,118,241,19,25
2131,115,185,983,1147,0,1023,1842,344,10857,149,204,25,19
2132,127,184,1047,1180,0,1039,1815,337,10988,160,213,25,25
2133,126,205,1078,1195,0,1054,1848,359,10999,165,189,28,25
2134,113,172,979,1155,0,1022,1840,343,10279,152,194,23,28
